sektori,zaplata,year,month
stroitelstwo,202,2001,4
tyrgowiq,182,2001,4
hoteli,160,2001,4
transport,294,2001,4
finansi,487,2001,4
imoti,228,2001,4
dyrvawnouprawlenie,308,2001,4
obrazowanie,227,2001,4
zdraweopazwane,216,2001,4
drugi,220,2001,4
obshto,247,2001,5
selsko,182,2001,5
dobiwna,387,2001,5
prerabodwashta,227,2001,5
energiq i woda,437,2001,5
stroitelstwo,211,2001,5
tyrgowiq,181,2001,5
hoteli,165,2001,5
transport,287,2001,5
finansi,462,2001,5
imoti,229,2001,5
dyrvawnouprawlenie,336,2001,5
obrazowanie,286,2001,5
zdraweopazwane,227,2001,5
drugi,213,2001,5
obshto,247,2001,6
selsko,190,2001,6
dobiwna,409,2001,6
prerabodwashta,234,2001,6
energiq i woda,462,2001,6
stroitelstwo,212,2001,6
tyrgowiq,187,2001,6
hoteli,163,2001,6
transport,312,2001,6
finansi,524,2001,6
imoti,238,2001,6
dyrvawnouprawlenie,317,2001,6
obrazowanie,230,2001,6
zdraweopazwane,223,2001,6
drugi,215,2001,6
obshto,244,2001,7
selsko,219,2001,7
dobiwna,382,2001,7
prerabodwashta,231,2001,7
energiq i woda,434,2001,7
stroitelstwo,211,2001,7
tyrgowiq,183,2001,7
hoteli,162,2001,7
transport,303,2001,7
finansi,468,2001,7
imoti,234,2001,7
dyrvawnouprawlenie,333,2001,7
obrazowanie,227,2001,7
zdraweopazwane,220,2001,7
drugi,214,2001,7
obshto,243,2001,8
selsko,194,2001,8
dobiwna,383,2001,8
prerabodwashta,237,2001,8
energiq i woda,417,2001,8
stroitelstwo,213,2001,8
tyrgowiq,182,2001,8
hoteli,167,2001,8
transport,298,2001,8
finansi,485,2001,8
imoti,232,2001,8
dyrvawnouprawlenie,328,2001,8
obrazowanie,226,2001,8
zdraweopazwane,219,2001,8
drugi,220,2001,8
obshto,251,2001,9
selsko,192,2001,9
dobiwna,396,2001,9
prerabodwashta,239,2001,9
energiq i woda,487,2001,9
stroitelstwo,210,2001,9
tyrgowiq,184,2001,9
hoteli,166,2001,9
transport,322,2001,9
finansi,498,2001,9
imoti,236,2001,9
dyrvawnouprawlenie,329,2001,9
obrazowanie,247,2001,9
zdraweopazwane,222,2001,9
drugi,221,2001,9
obshto,247,2001,10
selsko,209,2001,10
dobiwna,387,2001,10
prerabodwashta,236,2001,10
energiq i woda,438,2001,10
stroitelstwo,220,2001,10
tyrgowiq,193,2001,10
hoteli,162,2001,10
transport,302,2001,10
finansi,476,2001,10
imoti,238,2001,10
dyrvawnouprawlenie,324,2001,10
obrazowanie,228,2001,10
zdraweopazwane,223,2001,10
drugi,229,2001,10
obshto,250,2001,11
selsko,195,2001,11
dobiwna,386,2001,11
prerabodwashta,238,2001,11
energiq i woda,458,2001,11
stroitelstwo,216,2001,11
tyrgowiq,192,2001,11
hoteli,156,2001,11
transport,307,2001,11
finansi,569,2001,11
imoti,243,2001,11
dyrvawnouprawlenie,324,2001,11
obrazowanie,233,2001,11
zdraweopazwane,223,2001,11
drugi,224,2001,11
obshto,264,2001,12
selsko,193,2001,12
dobiwna,447,2001,12
prerabodwashta,242,2001,12
energiq i woda,496,2001,12
stroitelstwo,225,2001,12
tyrgowiq,206,2001,12
hoteli,169,2001,12
transport,338,2001,12
finansi,575,2001,12
imoti,254,2001,12
dyrvawnouprawlenie,354,2001,12
obrazowanie,246,2001,12
zdraweopazwane,233,2001,12
drugi,225,2001,12
obshto,245,2002,1
selsko,174,2002,1
dobiwna,392,2002,1
prerabodwashta,231,2002,1
energiq i woda,426,2002,1
stroitelstwo,189,2002,1
tyrgowiq,197,2002,1
hoteli,171,2002,1
transport,290,2002,1
finansi,498,2002,1
imoti,244,2002,1
dyrvawnouprawlenie,323,2002,1
obrazowanie,229,2002,1
zdraweopazwane,224,2002,1
drugi,225,2002,1
obshto,246,2002,2
selsko,179,2002,2
dobiwna,392,2002,2
prerabodwashta,232,2002,2
energiq i woda,423,2002,2
stroitelstwo,197,2002,2
tyrgowiq,192,2002,2
hoteli,168,2002,2
transport,286,2002,2
finansi,495,2002,2
imoti,240,2002,2
dyrvawnouprawlenie,332,2002,2
obrazowanie,239,2002,2
zdraweopazwane,225,2002,2
drugi,226,2002,2
obshto,257,2002,3
selsko,187,2002,3
dobiwna,466,2002,3
prerabodwashta,239,2002,3
energiq i woda,473,2002,3
stroitelstwo,208,2002,3
tyrgowiq,198,2002,3
hoteli,173,2002,3
transport,307,2002,3
finansi,517,2002,3
imoti,247,2002,3
dyrvawnouprawlenie,349,2002,3
obrazowanie,244,2002,3
zdraweopazwane,232,2002,3
drugi,242,2002,3
obshto,253,2002,4
selsko,187,2002,4
dobiwna,397,2002,4
prerabodwashta,238,2002,4
energiq i woda,431,2002,4
stroitelstwo,208,2002,4
tyrgowiq,194,2002,4
hoteli,157,2002,4
transport,296,2002,4
finansi,567,2002,4
imoti,243,2002,4
dyrvawnouprawlenie,341,2002,4
obrazowanie,247,2002,4
zdraweopazwane,235,2002,4
drugi,242,2002,4
obshto,260,2002,5
selsko,186,2002,5
dobiwna,428,2002,5
prerabodwashta,239,2002,5
energiq i woda,455,2002,5
stroitelstwo,204,2002,5
tyrgowiq,192,2002,5
hoteli,162,2002,5
transport,302,2002,5
finansi,526,2002,5
imoti,246,2002,5
dyrvawnouprawlenie,355,2002,5
obrazowanie,303,2002,5
zdraweopazwane,239,2002,5
drugi,237,2002,5
obshto,257,2002,6
selsko,189,2002,6
dobiwna,432,2002,6
prerabodwashta,244,2002,6
energiq i woda,473,2002,6
stroitelstwo,205,2002,6
tyrgowiq,192,2002,6
hoteli,157,2002,6
transport,316,2002,6
finansi,541,2002,6
imoti,249,2002,6
dyrvawnouprawlenie,349,2002,6
obrazowanie,241,2002,6
zdraweopazwane,243,2002,6
drugi,233,2002,6
obshto,259,2002,7
selsko,197,2002,7
dobiwna,408,2002,7
prerabodwashta,243,2002,7
energiq i woda,435,2002,7
stroitelstwo,210,2002,7
tyrgowiq,194,2002,7
hoteli,165,2002,7
transport,333,2002,7
finansi,568,2002,7
imoti,250,2002,7
dyrvawnouprawlenie,358,2002,7
obrazowanie,245,2002,7
zdraweopazwane,255,2002,7
drugi,243,2002,7
obshto,258,2002,8
selsko,186,2002,8
dobiwna,403,2002,8
prerabodwashta,241,2002,8
energiq i woda,461,2002,8
stroitelstwo,206,2002,8
tyrgowiq,193,2002,8
hoteli,164,2002,8
transport,321,2002,8
finansi,550,2002,8
imoti,249,2002,8
dyrvawnouprawlenie,377,2002,8
obrazowanie,249,2002,8
zdraweopazwane,253,2002,8
drugi,234,2002,8
obshto,265,2002,9
selsko,186,2002,9
dobiwna,438,2002,9
prerabodwashta,245,2002,9
energiq i woda,482,2002,9
stroitelstwo,207,2002,9
tyrgowiq,196,2002,9
hoteli,167,2002,9
transport,337,2002,9
finansi,572,2002,9
imoti,253,2002,9
dyrvawnouprawlenie,368,2002,9
obrazowanie,278,2002,9
zdraweopazwane,253,2002,9
drugi,230,2002,9
obshto,263,2002,10
selsko,191,2002,10
dobiwna,398,2002,10
prerabodwashta,244,2002,10
energiq i woda,446,2002,10
stroitelstwo,215,2002,10
tyrgowiq,197,2002,10
hoteli,163,2002,10
transport,337,2002,10
finansi,628,2002,10
imoti,248,2002,10
dyrvawnouprawlenie,369,2002,10
obrazowanie,255,2002,10
zdraweopazwane,268,2002,10
drugi,243,2002,10
obshto,263,2002,11
selsko,192,2002,11
dobiwna,413,2002,11
prerabodwashta,244,2002,11
energiq i woda,469,2002,11
stroitelstwo,212,2002,11
tyrgowiq,196,2002,11
hoteli,160,2002,11
transport,327,2002,11
finansi,632,2002,11
imoti,245,2002,11
dyrvawnouprawlenie,402,2002,11
obrazowanie,258,2002,11
zdraweopazwane,253,2002,11
drugi,215,2002,11
obshto,273,2002,12
selsko,185,2002,12
dobiwna,439,2002,12
prerabodwashta,250,2002,12
energiq i woda,512,2002,12
stroitelstwo,209,2002,12
tyrgowiq,202,2002,12
hoteli,168,2002,12
transport,367,2002,12
finansi,678,2002,12
imoti,262,2002,12
dyrvawnouprawlenie,383,2002,12
obrazowanie,276,2002,12
zdraweopazwane,268,2002,12
drugi,207,2002,12
obshto,262,2003,1
selsko,188,2003,1
dobiwna,408,2003,1
prerabodwashta,240,2003,1
energiq i woda,437,2003,1
stroitelstwo,218,2003,1
tyrgowiq,218,2003,1
hoteli,176,2003,1
transport,316,2003,1
finansi,549,2003,1
imoti,256,2003,1
dyrvawnouprawlenie,358,2003,1
obrazowanie,255,2003,1
zdraweopazwane,269,2003,1
drugi,215,2003,1
obshto,257,2003,2
selsko,189,2003,2
dobiwna,400,2003,2
prerabodwashta,237,2003,2
energiq i woda,433,2003,2
stroitelstwo,213,2003,2
tyrgowiq,217,2003,2
hoteli,174,2003,2
transport,310,2003,2
finansi,531,2003,2
imoti,256,2003,2
dyrvawnouprawlenie,356,2003,2
obrazowanie,257,2003,2
zdraweopazwane,258,2003,2
drugi,190,2003,2
obshto,273,2003,3
selsko,198,2003,3
dobiwna,464,2003,3
prerabodwashta,248,2003,3
energiq i woda,538,2003,3
stroitelstwo,227,2003,3
tyrgowiq,223,2003,3
hoteli,179,2003,3
transport,333,2003,3
finansi,582,2003,3
imoti,259,2003,3
dyrvawnouprawlenie,399,2003,3
obrazowanie,264,2003,3
zdraweopazwane,269,2003,3
drugi,190,2003,3
obshto,272,2003,4
selsko,208,2003,4
dobiwna,420,2003,4
prerabodwashta,246,2003,4
energiq i woda,464,2003,4
stroitelstwo,233,2003,4
tyrgowiq,226,2003,4
hoteli,181,2003,4
transport,344,2003,4
finansi,681,2003,4
imoti,258,2003,4
dyrvawnouprawlenie,371,2003,4
obrazowanie,275,2003,4
zdraweopazwane,281,2003,4
drugi,190,2003,4
obshto,279,2003,5
selsko,201,2003,5
dobiwna,418,2003,5
prerabodwashta,247,2003,5
energiq i woda,480,2003,5
stroitelstwo,234,2003,5
tyrgowiq,223,2003,5
hoteli,187,2003,5
transport,333,2003,5
finansi,572,2003,5
imoti,259,2003,5
dyrvawnouprawlenie,415,2003,5
obrazowanie,352,2003,5
zdraweopazwane,274,2003,5
drugi,189,2003,5
obshto,273,2003,6
selsko,203,2003,6
dobiwna,443,2003,6
prerabodwashta,251,2003,6
energiq i woda,554,2003,6
stroitelstwo,236,2003,6
tyrgowiq,226,2003,6
hoteli,177,2003,6
transport,348,2003,6
finansi,613,2003,6
imoti,261,2003,6
dyrvawnouprawlenie,360,2003,6
obrazowanie,271,2003,6
zdraweopazwane,281,2003,6
drugi,184,2003,6
obshto,272,2003,7
selsko,221,2003,7
dobiwna,412,2003,7
prerabodwashta,250,2003,7
energiq i woda,488,2003,7
stroitelstwo,232,2003,7
tyrgowiq,218,2003,7
hoteli,172,2003,7
transport,344,2003,7
finansi,693,2003,7
imoti,255,2003,7
dyrvawnouprawlenie,383,2003,7
obrazowanie,271,2003,7
zdraweopazwane,302,2003,7
drugi,185,2003,7
obshto,270,2003,8
selsko,209,2003,8
dobiwna,416,2003,8
prerabodwashta,248,2003,8
energiq i woda,481,2003,8
stroitelstwo,230,2003,8
tyrgowiq,218,2003,8
hoteli,176,2003,8
transport,338,2003,8
finansi,587,2003,8
imoti,253,2003,8
dyrvawnouprawlenie,413,2003,8
obrazowanie,275,2003,8
zdraweopazwane,296,2003,8
drugi,184,2003,8
obshto,283,2003,9
selsko,214,2003,9
dobiwna,486,2003,9
prerabodwashta,254,2003,9
energiq i woda,549,2003,9
stroitelstwo,235,2003,9
tyrgowiq,221,2003,9
hoteli,178,2003,9
transport,366,2003,9
finansi,606,2003,9
imoti,263,2003,9
dyrvawnouprawlenie,385,2003,9
obrazowanie,321,2003,9
zdraweopazwane,300,2003,9
drugi,192,2003,9
obshto,272,2003,10
selsko,207,2003,10
dobiwna,422,2003,10
prerabodwashta,246,2003,10
energiq i woda,498,2003,10
stroitelstwo,236,2003,10
tyrgowiq,224,2003,10
hoteli,177,2003,10
transport,339,2003,10
finansi,608,2003,10
imoti,261,2003,10
dyrvawnouprawlenie,396,2003,10
obrazowanie,279,2003,10
zdraweopazwane,301,2003,10
drugi,190,2003,10
obshto,281,2003,11
selsko,209,2003,11
dobiwna,430,2003,11
prerabodwashta,252,2003,11
energiq i woda,550,2003,11
stroitelstwo,240,2003,11
tyrgowiq,226,2003,11
hoteli,176,2003,11
transport,343,2003,11
finansi,611,2003,11
imoti,265,2003,11
dyrvawnouprawlenie,447,2003,11
obrazowanie,288,2003,11
zdraweopazwane,306,2003,11
drugi,194,2003,11
obshto,298,2003,12
selsko,211,2003,12
dobiwna,483,2003,12
prerabodwashta,256,2003,12
energiq i woda,582,2003,12
stroitelstwo,246,2003,12
tyrgowiq,236,2003,12
hoteli,184,2003,12
transport,383,2003,12
finansi,709,2003,12
imoti,296,2003,12
dyrvawnouprawlenie,428,2003,12
obrazowanie,328,2003,12
zdraweopazwane,328,2003,12
drugi,206,2003,12
obshto,275,2004,1
selsko,195,2004,1
dobiwna,434,2004,1
prerabodwashta,251,2004,1
energiq i woda,473,2004,1
stroitelstwo,230,2004,1
tyrgowiq,232,2004,1
hoteli,174,2004,1
transport,329,2004,1
finansi,621,2004,1
imoti,262,2004,1
dyrvawnouprawlenie,392,2004,1
obrazowanie,278,2004,1
zdraweopazwane,302,2004,1
drugi,199,2004,1
obshto,274,2004,2
selsko,199,2004,2
dobiwna,431,2004,2
prerabodwashta,254,2004,2
energiq i woda,469,2004,2
stroitelstwo,233,2004,2
tyrgowiq,232,2004,2
hoteli,174,2004,2
transport,324,2004,2
finansi,628,2004,2
imoti,261,2004,2
dyrvawnouprawlenie,390,2004,2
obrazowanie,277,2004,2
zdraweopazwane,296,2004,2
drugi,198,2004,2
obshto,288,2004,3
selsko,212,2004,3
dobiwna,480,2004,3
prerabodwashta,261,2004,3
energiq i woda,596,2004,3
stroitelstwo,246,2004,3
tyrgowiq,236,2004,3
hoteli,176,2004,3
transport,342,2004,3
finansi,632,2004,3
imoti,264,2004,3
dyrvawnouprawlenie,449,2004,3
obrazowanie,282,2004,3
zdraweopazwane,303,2004,3
drugi,194,2004,3
obshto,285,2004,4
selsko,217,2004,4
dobiwna,459,2004,4
prerabodwashta,262,2004,4
energiq i woda,497,2004,4
stroitelstwo,243,2004,4
tyrgowiq,244,2004,4
hoteli,180,2004,4
transport,333,2004,4
finansi,675,2004,4
imoti,264,2004,4
dyrvawnouprawlenie,404,2004,4
obrazowanie,286,2004,4
zdraweopazwane,322,2004,4
drugi,199,2004,4
obshto,292,2004,5
selsko,207,2004,5
dobiwna,455,2004,5
prerabodwashta,263,2004,5
energiq i woda,550,2004,5
stroitelstwo,239,2004,5
tyrgowiq,236,2004,5
hoteli,187,2004,5
transport,342,2004,5
finansi,623,2004,5
imoti,261,2004,5
dyrvawnouprawlenie,427,2004,5
obrazowanie,362,2004,5
zdraweopazwane,314,2004,5
drugi,192,2004,5
obshto,287,2004,6
selsko,220,2004,6
dobiwna,495,2004,6
prerabodwashta,268,2004,6
energiq i woda,562,2004,6
stroitelstwo,242,2004,6
tyrgowiq,237,2004,6
hoteli,183,2004,6
transport,342,2004,6
finansi,661,2004,6
imoti,271,2004,6
dyrvawnouprawlenie,393,2004,6
obrazowanie,282,2004,6
zdraweopazwane,313,2004,6
drugi,191,2004,6
obshto,291,2004,7
selsko,238,2004,7
dobiwna,451,2004,7
prerabodwashta,266,2004,7
energiq i woda,490,2004,7
stroitelstwo,247,2004,7
tyrgowiq,233,2004,7
hoteli,178,2004,7
transport,392,2004,7
finansi,692,2004,7
imoti,266,2004,7
dyrvawnouprawlenie,429,2004,7
obrazowanie,294,2004,7
zdraweopazwane,336,2004,7
drugi,194,2004,7
obshto,288,2004,8
selsko,219,2004,8
dobiwna,448,2004,8
prerabodwashta,264,2004,8
energiq i woda,534,2004,8
stroitelstwo,241,2004,8
tyrgowiq,234,2004,8
hoteli,178,2004,8
transport,352,2004,8
finansi,635,2004,8
imoti,270,2004,8
dyrvawnouprawlenie,445,2004,8
obrazowanie,301,2004,8
zdraweopazwane,319,2004,8
drugi,197,2004,8
obshto,300,2004,9
selsko,233,2004,9
dobiwna,527,2004,9
prerabodwashta,271,2004,9
energiq i woda,572,2004,9
stroitelstwo,244,2004,9
tyrgowiq,237,2004,9
hoteli,184,2004,9
transport,372,2004,9
finansi,632,2004,9
imoti,278,2004,9
dyrvawnouprawlenie,426,2004,9
obrazowanie,355,2004,9
zdraweopazwane,324,2004,9
drugi,198,2004,9
obshto,293,2004,10
selsko,227,2004,10
dobiwna,455,2004,10
prerabodwashta,265,2004,10
energiq i woda,536,2004,10
stroitelstwo,260,2004,10
tyrgowiq,240,2004,10
hoteli,180,2004,10
transport,363,2004,10
finansi,638,2004,10
imoti,278,2004,10
dyrvawnouprawlenie,432,2004,10
obrazowanie,307,2004,10
zdraweopazwane,327,2004,10
drugi,200,2004,10
obshto,300,2004,11
selsko,222,2004,11
dobiwna,514,2004,11
prerabodwashta,270,2004,11
energiq i woda,530,2004,11
stroitelstwo,260,2004,11
tyrgowiq,241,2004,11
hoteli,180,2004,11
transport,362,2004,11
finansi,644,2004,11
imoti,285,2004,11
dyrvawnouprawlenie,491,2004,11
obrazowanie,312,2004,11
zdraweopazwane,326,2004,11
drugi,203,2004,11
obshto,318,2004,12
selsko,222,2004,12
dobiwna,518,2004,12
prerabodwashta,279,2004,12
energiq i woda,594,2004,12
stroitelstwo,262,2004,12
tyrgowiq,255,2004,12
hoteli,184,2004,12
transport,391,2004,12
finansi,707,2004,12
imoti,300,2004,12
dyrvawnouprawlenie,487,2004,12
obrazowanie,353,2004,12
zdraweopazwane,359,2004,12
drugi,224,2004,12
obshto,298,2005,1
selsko,220,2005,1
dobiwna,489,2005,1
prerabodwashta,274,2005,1
energiq i woda,493,2005,1
stroitelstwo,245,2005,1
tyrgowiq,229,2005,1
hoteli,197,2005,1
transport,369,2005,1
finansi,691,2005,1
imoti,283,2005,1
dyrvawnouprawlenie,416,2005,1
obrazowanie,305,2005,1
zdraweopazwane,337,2005,1
drugi,243,2005,1
obshto,297,2005,2
selsko,217,2005,2
dobiwna,475,2005,2
prerabodwashta,270,2005,2
energiq i woda,540,2005,2
stroitelstwo,242,2005,2
tyrgowiq,226,2005,2
hoteli,194,2005,2
transport,392,2005,2
finansi,659,2005,2
imoti,281,2005,2
dyrvawnouprawlenie,407,2005,2
obrazowanie,305,2005,2
zdraweopazwane,340,2005,2
drugi,229,2005,2
obshto,314,2005,3
selsko,233,2005,3
dobiwna,556,2005,3
prerabodwashta,289,2005,3
energiq i woda,576,2005,3
stroitelstwo,253,2005,3
tyrgowiq,233,2005,3
hoteli,201,2005,3
transport,387,2005,3
finansi,772,2005,3
imoti,293,2005,3
dyrvawnouprawlenie,466,2005,3
obrazowanie,310,2005,3
zdraweopazwane,355,2005,3
drugi,237,2005,3
obshto,313,2005,4
selsko,240,2005,4
dobiwna,518,2005,4
prerabodwashta,285,2005,4
energiq i woda,548,2005,4
stroitelstwo,266,2005,4
tyrgowiq,231,2005,4
hoteli,196,2005,4
transport,388,2005,4
finansi,825,2005,4
imoti,293,2005,4
dyrvawnouprawlenie,446,2005,4
obrazowanie,316,2005,4
zdraweopazwane,381,2005,4
drugi,244,2005,4
obshto,322,2005,5
selsko,231,2005,5
dobiwna,511,2005,5
prerabodwashta,289,2005,5
energiq i woda,537,2005,5
stroitelstwo,266,2005,5
tyrgowiq,233,2005,5
hoteli,205,2005,5
transport,394,2005,5
finansi,725,2005,5
imoti,295,2005,5
dyrvawnouprawlenie,454,2005,5
obrazowanie,406,2005,5
zdraweopazwane,383,2005,5
drugi,243,2005,5
obshto,317,2005,6
selsko,238,2005,6
dobiwna,548,2005,6
prerabodwashta,294,2005,6
energiq i woda,617,2005,6
stroitelstwo,269,2005,6
tyrgowiq,231,2005,6
hoteli,197,2005,6
transport,405,2005,6
finansi,714,2005,6
imoti,302,2005,6
dyrvawnouprawlenie,438,2005,6
obrazowanie,315,2005,6
zdraweopazwane,372,2005,6
drugi,244,2005,6
obshto,322,2005,7
selsko,252,2005,7
dobiwna,510,2005,7
prerabodwashta,293,2005,7
energiq i woda,546,2005,7
stroitelstwo,275,2005,7
tyrgowiq,239,2005,7
hoteli,205,2005,7
transport,434,2005,7
finansi,753,2005,7
imoti,299,2005,7
dyrvawnouprawlenie,485,2005,7
obrazowanie,319,2005,7
zdraweopazwane,389,2005,7
drugi,247,2005,7
obshto,315,2005,8
selsko,244,2005,8
dobiwna,497,2005,8
prerabodwashta,292,2005,8
energiq i woda,537,2005,8
stroitelstwo,279,2005,8
tyrgowiq,240,2005,8
hoteli,204,2005,8
transport,406,2005,8
finansi,713,2005,8
imoti,299,2005,8
dyrvawnouprawlenie,429,2005,8
obrazowanie,324,2005,8
zdraweopazwane,375,2005,8
drugi,248,2005,8
obshto,329,2005,9
selsko,244,2005,9
dobiwna,561,2005,9
prerabodwashta,299,2005,9
energiq i woda,619,2005,9
stroitelstwo,290,2005,9
tyrgowiq,242,2005,9
hoteli,209,2005,9
transport,418,2005,9
finansi,721,2005,9
imoti,311,2005,9
dyrvawnouprawlenie,444,2005,9
obrazowanie,383,2005,9
zdraweopazwane,374,2005,9
drugi,247,2005,9
obshto,323,2005,10
selsko,247,2005,10
dobiwna,517,2005,10
prerabodwashta,298,2005,10
energiq i woda,582,2005,10
stroitelstwo,287,2005,10
tyrgowiq,242,2005,10
hoteli,202,2005,10
transport,407,2005,10
finansi,738,2005,10
imoti,306,2005,10
dyrvawnouprawlenie,446,2005,10
obrazowanie,329,2005,10
zdraweopazwane,387,2005,10
drugi,248,2005,10
obshto,327,2005,11
selsko,242,2005,11
dobiwna,518,2005,11
